i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.6796176721275642,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.17055658996105194,-0.5271179865782816,0.26113642955757554,0.4296977351221429,0.45333409329102126,0.44435696848245565,-0.5533231143805186,0.5220092355602131,0.7016211121331922,0.5539681495735103,0.9946398975297005,0.3430748351284258,1.1197016915480533,0.587429220188365,1.5658287369141168,0.734571550242292,0.12361505360722518,0.16689207182330315,9.61937601226554
2000,1000,1,0.95,0.6796176721275642,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.17947448790073395,-0.5498384390019139,0.2542392053241232,0.38791513742071126,0.355352957862716,0.2619314364089237,-0.3964000067476052,0.5535597065360273,0.6236096426212314,0.5361598935466403,0.9887236361770936,0.3563497001670403,1.103835972189865,0.5622400612144005,1.5028102130830665,0.6854341624536855,0.09068872082659854,0.1536416029441286,9.789152185088728
3000,1000,1,0.95,0.6796176721275642,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.1813412606716156,-0.5440665184528364,0.2543331248416778,0.3498645166897038,0.35716415879522295,0.05814539362654691,-0.2509323533100711,0.4966833750260573,0.5745950526123759,0.5488471182065153,0.99508760350248,0.37583600959107905,1.1303894564212738,0.5256895769198288,1.4958913376207805,0.6712679189281897,0.06189179637403342,0.09951140052215546,9.876099901433705
