i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.7539355512261596,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.15996693074703217,0.4750809593522058,0.31397484261074066,0.5696066067977736,0.4315467479956055,-0.4757202705128857,-0.5007735158255925,0.4675779689526417,0.5496782445467792,0.6009115276784406,0.29121145881472826,0.9805193270480587,1.198564117606083,0.49308740624780756,1.6218556547392835,0.6088120221948455,0.05181621345532705,0.039460078146475494,10.715250588473841
2000,1000,1,0.95,0.7539355512261596,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.15125896036624908,0.566619016430823,0.30017138553668743,0.5519511566123282,0.031615778838212885,-0.6203042748662043,-0.4228003452883688,0.4750710580742219,0.4130034524900376,0.5154495382987874,0.2903405009379637,0.9973892985353725,1.2971485290959544,0.4555379582612866,1.622708511713184,0.5972143456360206,0.06794049570623126,-0.0045139849179158245,10.850135856574555
3000,1000,1,0.95,0.7539355512261596,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.15863274037837982,0.5399542357489301,0.33006264849747297,0.43944958950379687,0.24099751887684986,-0.6481172309102967,-0.35382005446897674,0.5074398636712321,0.43434794437066593,0.5506722005981257,0.2980954416946735,0.9914135036121747,1.247669412164318,0.45229723115006804,1.5750044676426247,0.5862468197465329,0.07146624625656574,0.05543206211002761,10.838472892572131
