i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.8786575532436778,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.12677545845508575,0.2947501716272643,0.31227282850346605,-0.59395534176619,0.5900704616825028,-0.6130879220889656,-0.5353615336437013,0.3809098944718191,0.44118598061362674,0.5363472934021037,0.3410658762697672,0.9445509310323014,1.3112672087720196,0.4823798126965303,1.8493598350017835,0.36752402076450424,0.06838750772460245,0.5098697300201038,10.406498943414851
2000,1000,1,0.95,0.8786575532436778,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.1299082338809967,0.3997833733977036,0.3260497723001766,-0.4122752277301158,0.5005631566116052,-0.5758201649268162,-0.34161492502891266,0.26436818341047724,0.4633556183103701,0.5583742519705732,0.2595165443811925,0.9616110742422735,1.3081767690121096,0.46422516622836935,1.8174414728391501,0.3656130208484875,0.06881646606206797,0.5504669682404316,10.465929757629015
3000,1000,1,0.95,0.8786575532436778,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.12704280018806458,0.43262941552471745,0.37248075945833636,-0.4168119090657694,0.46620509400527654,-0.6325096666232932,-0.059820773628086146,0.13862999331042503,0.44035957608425563,0.5749440377222986,0.24438588669907124,0.9685427420157315,1.3838266265507237,0.43430222099668125,1.8811545571850639,0.392921435487947,0.08991331970647663,0.5514305295777225,10.411190767024427
