i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.694817829983144,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.15962179005146027,0.5702912485241071,0.3337447417350718,0.5135622858230708,0.46950337509948936,0.469452510109248,-0.544124159117584,0.533300899152326,0.7553174323246657,0.5943863619525118,0.33896363886474895,0.9872911325782614,1.1485282925181757,0.5729041890122075,1.6526690800267096,0.7621001939734844,0.11236053477739322,-1.1039132472840731,9.713748881106381
2000,1000,1,0.95,0.694817829983144,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.16107159852981567,0.505734152602012,0.33771159953795793,0.3930929025646957,0.34403420664287265,0.29060111139506456,-0.42413994759382534,0.5194414767220352,0.670094169769221,0.5589601976831123,0.27772594712162146,0.9723272185389381,1.1888104725850646,0.560991143237778,1.6717165737002424,0.7237668274205076,0.09158337332907183,-1.0415863100976521,9.78748717376809
3000,1000,1,0.95,0.694817829983144,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.1571095585823059,0.5357252100644124,0.28613218052861383,0.16185471089585568,0.20378083924831825,0.013337031318690509,-0.21846552704736574,0.38119886843229633,0.5375193937101853,0.5177854489360725,0.3051523869008554,0.988573321317788,1.281937945838956,0.5207784000876079,1.709608562154688,0.7084397037139981,0.05256828965834997,-1.0885215341502872,9.736107324687971
