i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.31364795212373675,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.2709794044494629,-0.534072213935486,0.22668102230226178,0.557860147251656,0.06620865067963766,0.5047875186872294,0.047498260300843136,-0.27692107867924487,0.6393666084273892,0.5203315950235565,0.9905779853037836,0.38065487311361634,1.0976307370384681,0.5399929448180313,1.2827871886568447,0.9164296265236368,0.05707933852435728,-3.652752358428925,11.249517286133717
2000,1000,1,0.95,0.31364795212373675,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.2769944369792938,-0.46046570255164904,0.21711454902518929,0.5378729381753243,0.1868083316288619,0.4417129949300413,0.02259527369250501,-0.2720050056523946,0.6579418896622296,0.5467288572090019,0.9901084188381473,0.4114532881201544,1.0919555964569965,0.5364995261087632,1.2731301010147726,0.921380295766598,0.0591411841737082,-3.8849484348915904,11.301826272083877
3000,1000,1,0.95,0.31364795212373675,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.29460635781288147,-0.4454777639413085,0.21470276743066447,0.4460912887430648,0.5089180316413984,0.43242552827713837,0.04436272264331449,-0.19609392119980237,0.7267580858250444,0.6345467344915618,0.9922096641286735,0.37646700112583814,1.0694994354351206,0.5290830895179002,1.2195361199811825,0.9331279031461284,0.04981197058636119,-3.9177479083104547,11.196378396956586
