i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.7474828708756174,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.16616865992546082,0.6007917542915457,0.3084256721859594,0.47547833598481215,0.1342931864126632,-0.3366672843800384,-0.34808395263183506,0.5638767354700058,0.47667233502904316,0.5300833778783328,0.3137391405494627,0.990980771802726,1.1689518511478318,0.4896053549547078,1.523906542009118,0.563949571553797,0.0564288898147914,1.6939034053261244,11.142441433041324
2000,1000,1,0.95,0.7474828708756174,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.16590192914009094,0.47851414055299163,0.31114084407178627,0.3759348956553727,0.25228271947862024,-0.4223409546870003,-0.315489134905875,0.4970010026116672,0.4724796207079627,0.5424086211086226,0.2942025654288231,0.9944942683036042,1.1769680377689018,0.4786292397120151,1.5301847168030416,0.5693834514877046,0.05685743539055413,1.6535425360170664,11.295476883462541
3000,1000,1,0.95,0.7474828708756174,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.16666041314601898,0.3938184090278358,0.3348502531679787,0.3561656048357097,0.4194009446357638,-0.5213488529808782,-0.1738137304462396,0.3822051799088659,0.4818199218736449,0.585708848558038,0.28280723677535263,0.9870967022306608,1.204931470166687,0.4568578592341668,1.5330698680725372,0.588761079826226,0.0720834621031384,1.5263406459941113,11.348154766157025
