i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.1362951741466103,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.3643701374530792,0.24828355861229814,0.3123782341473683,0.45575466216195987,0.48164117739039136,0.5763179301482578,0.45144907625655784,-0.632283214217382,0.7315748031137098,0.6511516207233059,0.31373490308984375,0.882444161912754,1.0285348477354461,0.5106551949227456,1.125894752816188,0.9607026740736893,0.04189013694963983,-1.6943496651756682,9.813479538198086
2000,1000,1,0.95,0.1362951741466103,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.36897462606430054,0.38761523404043813,0.34783348413579673,0.35594741002548264,0.5912239033400166,0.45599671114339696,0.35646743159047334,-0.5765188015598244,0.7398105226963179,0.6885753901153826,0.2780969351671363,0.971068684971503,1.0275601847152134,0.5061515715385265,1.1158051318182454,0.9747383684383844,0.03578337177982975,-1.7408225643939992,9.639986963811124
3000,1000,1,0.95,0.1362951741466103,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.367499977350235,0.46496524133857986,0.4287741281342463,0.3454277363655278,0.5672849175521291,0.43669964090957997,0.40767865431554146,-0.5103538641065805,0.7226583818850564,0.6770289336414247,0.23236975115363034,0.9854490844788718,1.0216745601400226,0.5054734963596947,1.1162630965484421,0.9736683368646253,0.0360993155243907,-1.5600268030056423,9.797873135427235
