i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.049913291335852206,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.3957974910736084,0.5354420982205133,0.3995278330854675,0.6063325042428641,0.5540628188530783,0.5951247400225114,-0.6129430167451437,0.11183639039467155,0.8143625949852132,0.6299911319344044,0.22125538287034763,0.9956234240298151,1.0261497156740822,0.5705746747287461,1.0851501273856345,0.9656059850211584,0.11740940810868898,-0.35927668119606926,11.996575911229854
2000,1000,1,0.95,0.049913291335852206,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.39892393350601196,0.6207532233421263,0.3789600636622336,0.4415172894537752,0.6239142384454331,0.6053085235166812,-0.405054595967886,0.044914619776002626,0.7979930539731117,0.6476553287058247,0.2588845260185899,1,1.0232330055581365,0.5574626038782039,1.077320548392489,0.9684523443169145,0.08993866478112712,-0.4461486153192388,11.85036156004858
3000,1000,1,0.95,0.049913291335852206,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.3997917175292969,0.580712451646315,0.4047443448372102,0.45387077088338096,0.6657832349219323,0.512599528797025,-0.31212159532393374,0.03583080988101149,0.7904030615165474,0.6555067728535612,0.2289317328232475,0.9903200530705786,1.0204665833724818,0.5495356606347674,1.0728126362865154,0.9719181234522366,0.08290668021131892,-0.289858530657455,11.852677594064065
