i,pop_len,b_f,b_s,b_p,c_q,c_v,c_u,mu,mut_size,sigma0,sigma_cue,div_rate,varsigma,h,theta,mean_fitness,m,c,u_base,rho,nu,gamma,lambda,mean_faster_effort,mean_slower_effort,mean_fast_h,mean_slow_h,mean_f_s_w,mean_f_s_d,f_w,s_w,effort_dif,x,var
1000,1000,1,0.95,0.29565384514308946,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.30415260791778564,-0.09535055313122066,0.259569376591121,0.477545269134312,0.5427312662591909,-0.13460639407825256,-0.433585115369685,-0.6189803453318103,0.6351554745358293,0.6384541879359497,0.7104773329599171,0.41519002093657786,1.0274324108423796,0.5200091604008766,1.130032277698736,0.9427989932316898,0.05019542143653444,-0.29883511184818046,12.411040176984931
2000,1000,1,0.95,0.29565384514308946,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.31224295496940613,0.29743769270696585,0.29500929854297747,0.3365628331970598,0.5784682194462464,-0.155457088185201,-0.3255191325945404,-0.5757493394013986,0.6766181622120147,0.6844424721559025,0.3057482087301414,0.9467795689869853,1.0340126966058492,0.5058284792931128,1.1128269121985972,0.9378763277244417,0.04047918052800818,-0.3867937598023219,12.301700489882622
3000,1000,1,0.95,0.29565384514308946,0.25,0.1,0.25,0.2,0.2,10,1,1,10,5,2,0.3195567727088928,0.4534717660341735,0.3998041574954699,0.19451160081962673,0.6855757017106667,-0.20616678488109885,-0.3804131083441015,-0.5976240756609817,0.7221120215448613,0.7288312549807938,0.21667173535245127,0.9608920731625279,1.0298595423543062,0.5085027570768219,1.10591112027246,0.947548447750017,0.039783817126767713,-0.4672480497414434,12.334525871506308
